Disease,Symptom_0,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,null,null,null,null,null,null,null,null,null,null,null,null,null
AIDS, patches_in_throat, high_fever, extra_marital_contacts,null,null,null,null,null,null,null,null,null,null,null,null,null,null
AIDS, muscle_wasting, high_fever, extra_marital_contacts,null,null,null,null,null,null,null,null,null,null,null,null,null,null
AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,null,null,null,null,null,null,null,null,null,null,null,null,null,null
AIDS, muscle_wasting, patches_in_throat, high_fever,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Acne, skin_rash, pus_filled_pimples, blackheads, scurrying,null,null,null,null,null,null,null,null,null,null,null,null,null
Acne, pus_filled_pimples, blackheads, scurrying,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Acne, skin_rash, blackheads, scurrying,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Acne, skin_rash, pus_filled_pimples, scurrying,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Acne, skin_rash, pus_filled_pimples, blackheads,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Alcoholic hepatitis, vomiting, yellowish_skin, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,null,null,null,null,null,null,null,null,null,null,null
Alcoholic hepatitis, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,null,null,null,null,null,null,null,null,null,null,null
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption,null,null,null,null,null,null,null,null,null,null,null
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, fluid_overload,null,null,null,null,null,null,null,null,null,null,null
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, history_of_alcohol_consumption, fluid_overload,null,null,null,null,null,null,null,null,null,null,null
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,null,null,null,null,null,null,null,null,null,null,null
Alcoholic hepatitis, vomiting, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,null,null,null,null,null,null,null,null,null,null,null
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,null,null,null,null,null,null,null,null,null,null
Allergy, shivering, chills, watering_from_eyes,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Allergy, continuous_sneezing, shivering, watering_from_eyes,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Allergy, continuous_sneezing, shivering, chills,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Allergy, continuous_sneezing, shivering, chills,watering_from_eyes,null,null,null,null,null,null,null,null,null,null,null,null,null
