iter	Passed	Remaining
0	7	2135
1	16	2495
2	25	2536
3	33	2471
4	61	3606
5	74	3628
6	86	3603
7	95	3493
8	103	3359
9	112	3274
10	123	3234
11	140	3380
12	153	3390
13	160	3275
14	170	3238
15	177	3142
16	186	3099
17	194	3039
18	209	3098
19	219	3067
20	226	3009
21	238	3018
22	251	3027
23	259	2986
24	270	2978
25	283	2992
26	296	3001
27	304	2954
28	311	2912
29	317	2861
30	329	2860
31	342	2867
32	354	2869
33	366	2867
34	372	2822
35	385	2824
36	413	2937
37	433	2991
38	449	3008
39	475	3093
40	499	3152
41	531	3264
42	551	3295
43	576	3355
44	593	3361
45	612	3381
46	627	3380
47	645	3389
48	656	3365
49	668	3343
50	680	3323
51	691	3296
52	699	3261
53	709	3234
54	715	3189
55	728	3174
56	743	3170
57	756	3155
58	764	3124
59	777	3111
60	788	3087
61	793	3047
62	803	3024
63	810	2987
64	818	2960
65	825	2925
66	832	2893
67	841	2869
68	847	2835
69	853	2805
70	860	2775
71	869	2752
72	875	2721
73	884	2699
74	889	2667
75	898	2648
76	904	2619
77	910	2590
78	921	2578
79	931	2562
80	938	2536
81	944	2511
82	950	2485
83	956	2459
84	968	2449
85	976	2430
86	984	2409
87	997	2403
88	1014	2404
89	1024	2390
90	1033	2374
91	1047	2367
92	1058	2356
93	1066	2336
94	1079	2329
95	1096	2330
96	1101	2306
97	1110	2289
98	1116	2266
99	1125	2250
100	1130	2228
101	1136	2206
102	1148	2196
103	1156	2180
104	1162	2159
105	1172	2145
106	1178	2126
107	1184	2105
108	1192	2090
109	1198	2070
110	1208	2057
111	1214	2037
112	1223	2024
113	1228	2004
114	1236	1988
115	1241	1969
116	1248	1953
117	1257	1939
118	1263	1921
119	1271	1907
120	1277	1890
121	1286	1877
122	1293	1861
123	1302	1848
124	1308	1831
125	1316	1817
126	1322	1801
127	1331	1789
128	1337	1773
129	1344	1758
130	1352	1745
131	1358	1728
132	1367	1717
133	1375	1704
134	1385	1693
135	1390	1677
136	1407	1674
137	1415	1662
138	1422	1648
139	1431	1635
140	1439	1623
141	1448	1611
142	1454	1596
143	1465	1587
144	1480	1582
145	1488	1569
146	1498	1560
147	1506	1547
148	1518	1539
149	1532	1532
150	1548	1528
151	1555	1514
152	1566	1504
153	1579	1497
154	1594	1491
155	1610	1486
156	1625	1480
157	1642	1475
158	1657	1470
159	1668	1459
160	1681	1451
161	1691	1440
162	1698	1427
163	1707	1416
164	1715	1403
165	1729	1396
166	1740	1386
167	1748	1373
168	1757	1361
169	1766	1351
170	1774	1338
171	1781	1325
172	1788	1312
173	1797	1301
174	1809	1292
175	1817	1280
176	1823	1267
177	1828	1253
178	1836	1241
179	1842	1228
180	1848	1215
181	1856	1203
182	1862	1190
183	1869	1178
184	1875	1165
185	1880	1152
186	1888	1141
187	1893	1128
188	1902	1117
189	1910	1105
190	1917	1094
191	1922	1081
192	1927	1068
193	1939	1059
194	1944	1046
195	1951	1035
196	1956	1022
197	1964	1011
198	1971	1000
199	1979	989
200	1986	978
201	2000	970
202	2007	959
203	2017	949
204	2029	940
205	2037	929
206	2048	920
207	2053	908
208	2061	897
209	2066	885
210	2072	874
211	2080	863
212	2085	851
213	2092	841
214	2100	830
215	2104	818
216	2113	808
217	2118	796
218	2126	786
219	2131	774
220	2136	763
221	2143	753
222	2148	741
223	2157	732
224	2163	721
225	2168	710
226	2176	699
227	2180	688
228	2191	679
229	2197	668
230	2202	657
231	2210	647
232	2215	637
233	2223	627
234	2228	616
235	2234	605
236	2242	596
237	2248	585
238	2255	575
239	2260	565
240	2266	554
241	2275	545
242	2280	534
243	2287	524
244	2292	514
245	2297	504
246	2307	495
247	2313	485
248	2320	475
249	2326	465
250	2331	455
251	2339	445
252	2344	435
253	2353	426
254	2358	416
255	2365	406
256	2375	397
257	2383	387
258	2391	378
259	2400	369
260	2407	359
261	2416	350
262	2421	340
263	2427	330
264	2435	321
265	2440	311
266	2448	302
267	2454	293
268	2464	283
269	2469	274
270	2475	264
271	2482	255
272	2488	246
273	2493	236
274	2499	227
275	2505	217
276	2513	208
277	2518	199
278	2524	189
279	2531	180
280	2536	171
281	2544	162
282	2550	153
283	2558	144
284	2564	134
285	2569	125
286	2578	116
287	2583	107
288	2590	98
289	2597	89
290	2604	80
291	2612	71
292	2620	62
293	2633	53
294	2641	44
295	2646	35
296	2656	26
297	2662	17
298	2670	8
299	2679	0
